timestamp,symbol,exchange,event_type,price,quantity
2026-07-23 14:04:49,BTC,BINANCE,TRADE,75900.8,1.84367
2026-07-23 14:04:49,BTC,BINANCE,TRADE,75450.9,1.21489
2026-07-23 14:04:49,BTC,BINANCE,TRADE,77881,1.63509
2026-07-23 14:04:49,BTC,BINANCE,TRADE,75937.6,1.34113
2026-07-23 14:04:49,BTC,BINANCE,TRADE,74997.9,0.755153
2026-07-23 14:04:49,BTC,BINANCE,TRADE,74987.7,1.92112
2026-07-23 14:04:49,BTC,BINANCE,TRADE,75035.2,1.45737
2026-07-23 14:04:49,BTC,BINANCE,TRADE,75640.6,1.32107
2026-07-23 14:04:49,BTC,BINANCE,TRADE,77357.4,1.01511
2026-07-23 14:04:50,BTC,BINANCE,TRADE,76779.4,0.354838
2026-07-23 14:04:50,BTC,BINANCE,TRADE,76766.6,1.47854
2026-07-23 14:04:50,BTC,BINANCE,TRADE,75769.9,1.79521
2026-07-23 14:04:50,BTC,BINANCE,TRADE,77382.2,1.75743
2026-07-23 14:04:50,BTC,BINANCE,TRADE,76430.9,1.95625
2026-07-23 14:04:50,BTC,BINANCE,TRADE,77166.5,1.72874
2026-07-23 14:04:50,BTC,BINANCE,TRADE,77549.5,0.0565918
2026-07-23 14:04:50,BTC,BINANCE,TRADE,77085,1.70683
2026-07-23 14:04:50,BTC,BINANCE,TRADE,75119.8,1.41854
2026-07-23 14:04:50,BTC,BINANCE,TRADE,75747.1,0.316664
2026-07-23 14:04:51,BTC,BINANCE,TRADE,76982.1,1.1141
2026-07-23 14:04:51,BTC,BINANCE,TRADE,77430.7,1.62754
2026-07-23 14:04:51,BTC,BINANCE,TRADE,76585.5,0.952839
2026-07-23 14:04:51,BTC,BINANCE,TRADE,76818.9,0.400996
2026-07-23 14:04:51,BTC,BINANCE,TRADE,76036.3,1.14458
2026-07-23 14:04:51,BTC,BINANCE,TRADE,75116.9,1.59658
2026-07-23 14:04:51,BTC,BINANCE,TRADE,75807.4,0.961877
2026-07-23 14:04:51,BTC,BINANCE,TRADE,75786.6,0.150659
2026-07-23 14:04:51,BTC,BINANCE,TRADE,75258.9,0.74638
2026-07-23 14:04:51,BTC,BINANCE,TRADE,76217.9,1.05012
2026-07-23 14:04:52,BTC,BINANCE,TRADE,75480.1,0.829929
2026-07-23 14:04:52,BTC,BINANCE,TRADE,77569.1,0.149053
2026-07-23 14:04:52,BTC,BINANCE,TRADE,77181.8,1.32049
2026-07-23 14:04:52,BTC,BINANCE,TRADE,75970.5,1.25149
2026-07-23 14:04:52,BTC,BINANCE,TRADE,76499.1,1.54642
