timestamp,symbol,exchange,event_type,price,quantity
2026-07-23 14:05:24,BTC,BINANCE,TRADE,75568,0.0281883
2026-07-23 14:05:24,BTC,BINANCE,TRADE,76005.7,1.7844
2026-07-23 14:05:24,BTC,BINANCE,TRADE,75123.5,0.52601
2026-07-23 14:05:25,BTC,BINANCE,TRADE,75346.7,1.93264
2026-07-23 14:05:25,BTC,BINANCE,TRADE,77201.6,1.0537
2026-07-23 14:05:25,BTC,BINANCE,TRADE,77222,1.89415
2026-07-23 14:05:25,BTC,BINANCE,TRADE,76062.6,1.05038
2026-07-23 14:05:25,BTC,BINANCE,TRADE,76732.2,0.0409003
2026-07-23 14:05:25,BTC,BINANCE,TRADE,75695.6,1.88198
2026-07-23 14:05:25,BTC,BINANCE,TRADE,77759.9,0.729693
2026-07-23 14:05:25,BTC,BINANCE,TRADE,75698.5,0.289738
2026-07-23 14:05:25,BTC,BINANCE,TRADE,75958.2,1.21771
2026-07-23 14:05:25,BTC,BINANCE,TRADE,76771.3,1.51325
2026-07-23 14:05:26,BTC,BINANCE,TRADE,76824.5,0.576503
2026-07-23 14:05:26,BTC,BINANCE,TRADE,77430.9,0.942918
2026-07-23 14:05:26,BTC,BINANCE,TRADE,77802.6,1.12846
2026-07-23 14:05:26,BTC,BINANCE,TRADE,75461.9,1.05335
2026-07-23 14:05:26,BTC,BINANCE,TRADE,75349.6,0.296283
2026-07-23 14:05:26,BTC,BINANCE,TRADE,77107.4,0.794545
2026-07-23 14:05:26,BTC,BINANCE,TRADE,76532.8,0.351789
2026-07-23 14:05:26,BTC,BINANCE,TRADE,78014.2,1.71948
2026-07-23 14:05:26,BTC,BINANCE,TRADE,75634.6,1.11042
2026-07-23 14:05:26,BTC,BINANCE,TRADE,77138.7,0.568534
2026-07-23 14:05:27,BTC,BINANCE,TRADE,76003.7,1.27445
2026-07-23 14:05:27,BTC,BINANCE,TRADE,76568.3,0.30131
2026-07-23 14:05:27,BTC,BINANCE,TRADE,75724.1,1.84089
2026-07-23 14:05:27,BTC,BINANCE,TRADE,75151.3,0.858562
2026-07-23 14:05:27,BTC,BINANCE,TRADE,77687.2,0.144621
2026-07-23 14:05:27,BTC,BINANCE,TRADE,77520.5,0.129091
2026-07-23 14:05:27,BTC,BINANCE,TRADE,77198.5,0.193869
2026-07-23 14:05:27,BTC,BINANCE,TRADE,76602.5,0.727686
2026-07-23 14:05:27,BTC,BINANCE,TRADE,75332.6,1.8232
2026-07-23 14:05:27,BTC,BINANCE,TRADE,77306.5,1.49016
2026-07-23 14:05:28,BTC,BINANCE,TRADE,75538,1.47603
2026-07-23 14:05:28,BTC,BINANCE,TRADE,76916.5,1.83698
